ANG,TRQ,ANG_pred,TRQ pred,MAE,Anomaly
-13.0,2441.0,-11.53517,2431.4485,0.007488533854484558,False
42.0,2442.0,43.667713,2431.5576,0.008319683372974396,False
47.0,2415.0,48.61685,2403.532,0.008707009255886078,False
-73.0,2493.0,-72.603806,2490.2317,0.0021136701107025146,False
65.0,2401.0,66.3015,2388.3647,0.008632466197013855,False
23.000002,2441.0,24.825212,2431.0315,0.008408918976783752,False
-47.000004,2375.9998,-44.684036,2368.673,0.00813131034374237,False
86.0,2439.0,87.13972,2428.8623,0.007117316126823425,False
139.5,3681.0,200.42374,3473.7698,0.2208152711391449,True
28.999998,2442.0,30.80256,2431.916,0.008418679237365723,False
27.999998,2442.0,29.807682,2431.9397,0.008417636156082153,False
-102.0,2790.0,-102.22754,2782.7134,0.00393107533454895,False
-58.999996,2441.0,-57.524677,2432.9114,0.006811738014221191,False
-83.0,2633.0,-82.925224,2629.2751,0.0019263923168182373,False
-65.00001,2433.0,-63.693542,2425.7075,0.00609394907951355,False
84.0,2431.0,85.12129,2420.0723,0.00745721161365509,False
97.0,2475.0,98.38685,2469.867,0.005224883556365967,False
82.5,3663.0,114.20697,3510.4172,0.1362571120262146,True
